"","Id","TagName","Count","ExcerptPostId","WikiPostId"
"1","1","comments","143","84634","84633"
"2","3","code-smell","87","133740","133739"
"3","4","programming-languages","1193","4802","4801"
"4","5","usage","11","5","usage"
"5","6","market-share","4","6","market-share"
"6","7","business","145","109610","109609"
"7","8","project-management","775","48555","48554"
"8","9","development-process","493","143950","143949"
"9","11","performance","408","107405","107404"
"10","12","time-management","83","12","time-management"
"11","13","dynamic-typing","63","133802","133801"
"12","14","static-typing","48","14","static-typing"
"13","16","team","224","166744","166743"
"14","18","personal-traits","5","18","personal-traits"
"15","22","favorite","2","22","favorite"
"16","23","waterfall","35","23","waterfall"
"17","24","micro-management","4","24","micro-management"
"18","25","non-technical-manager","21","25","non-technical-manager"
"19","26","certification","79","134469","134468"
"20","27","scjp","3","27","scjp"
"21","28","functional-programming","404","67239","67238"
"22","36","web-applications","608","104484","104483"
"23","38","hiring","115","48945","48944"
"24","40","resources","74","40","resources"
"25","41","math","194","170221","170220"
"26","42","school","41","42","school"
"27","44","office","29","135291","135290"
"28","45","billing","21","45","billing"
"29","46","freelancing","259","121103","121102"
"30","47","pricing","64","167443","167442"
"31","49","twitter","22","67236","67235"
"32","50","software","153","49001","49000"
"33","51","technology","51","168228","168227"
"34","52","books","207","49448","49447"
"35","53","actor-model","18","53","actor-model"
"36","54","concurrency","140","179324","179323"
"37","55","code-quality","429","121323","121322"
"38","56","test-coverage","33","56","test-coverage"
"39","57","open-source","795","65197","65196"
"40","58","history","245","106197","106196"
"41","61","linux","203","47902","47901"
"42","62","kernel","18","62","kernel"
"43","63","resume","108","155248","155247"
"44","65","agile","743","54867","54866"
"45","67","project-hosting","25","67","project-hosting"
"46","71","productivity","372","54813","54812"
"47","73","qualifications","7","73","qualifications"
"48","74","job-definition","62","167600","167599"
"49","76","java","2671","43376","43375"
"50","77","entertainment","2","77","entertainment"
"51","78","python","881","47876","47875"
"52","82","applications","86","145717","145716"
"53","83","tools","115","71900","71899"
"54","85","employment","88","179319","179318"
"55","86","software-developer","101","167438","167437"
"56","87","telecommuting","15","232501","232500"
"57","89","self-improvement","369","70109","70108"
"58","91","websites","137","75373","75372"
"59","92","organization","87","150077","150076"
"60","94","technique","24","94","technique"
"61","96","social","13","96","social"
"62","102","language-design","268","143965","143964"
"63","103","touch-typing","7","145548","145547"
"64","104","syntax","135","73291","73290"
"65","105","learning","753","55779","55778"
"66","109","regular-expressions","60","236429","236428"
"67","110","web-development","1160","54503","54502"
"68","111","ide","151","47756","47755"
"69","114","windows","232","144317","144316"
"70","117","goto","8","117","goto"
"71","118","programming-practices","914","134613","134612"
"72","119","operating-systems","117","133804","133803"
"73","120","managed-code","7","120","managed-code"
"74","121","stereotypes","2","121","stereotypes"
"75","126","behavior","19","126","behavior"
"76","127","personality","11","127","personality"
"77","130","language-agnostic","378","48538","48537"
"78","131","features","25","131","features"
"79","132","estimation","123","168232","168231"
"80","133","indentation","24","133","indentation"
"81","136","coding","92","40776","40775"
"82","137","concentration","4","137","concentration"
"83","139","courses","15","139","courses"
"84","140","computer-science","188","135834","135833"
"85","141","php","1344","2990","2989"
"86","142","skills","143","45205","45204"
"87","144","languages","84","145713","145712"
"88","145","database-development","69","145","database-development"
"89","146","spring","86","91928","91927"
"90","147","sql","381","47894","47893"
"91","148","future","12","136555","136554"
"92","150","list","38","150","list"
"93","151","reference","36","155213","155212"
"94","153","work-environment","270","64483","64482"
"95","157","unit-testing","784","47892","47891"
"96","158","testing","754","49179","49178"
"97","159","acceptance-testing","50","234977","234976"
"98","164","software-patent","37","164","software-patent"
"99","167","internet-explorer","23","167","internet-explorer"
"100","168","mac","46","132476","132475"
"101","169","deployment","153","144322","144321"
"102","170","physics","10","170","physics"
"103","174","hardware","97","167436","167435"
"104","176","grad-school","10","176","grad-school"
"105","178","paradigms","79","133753","133752"
"106","179","mouse","3","179","mouse"
"107","180","macros","27","167348","167347"
"108","187","logging","112","206948","206947"
"109","188",".net","939","40766","40765"
"110","189","text-editor","45","189","text-editor"
"111","190","ethics","121","94951","94950"
"112","191","motivation","69","64504","64503"
"113","192","testers","8","192","testers"
"114","194","sales","29","194","sales"
"115","195","independent","4","195","independent"
"116","196","isv","6","196","isv"
"117","197","credit-cards","5","197","credit-cards"
"118","198","architect","21","198","architect"
"119","200","paas","7","200","paas"
"120","201","passwords","59","114189","114188"
"121","202","security","473","143952","143951"
"122","203","social-engineering","2","203","social-engineering"
"123","204","lifestyle","14","204","lifestyle"
"124","207","charity","5","207","charity"
"125","208","gpl","361","133716","133715"
"126","211","apple","49","179342","179341"
"127","212","cpu","49","143646","143645"
"128","213","trends","19","213","trends"
"129","214","iphone","160","67860","67859"
"130","215","mobile","149","155236","155235"
"131","216","marketing","31","232541","232540"
"132","220","government","7","220","government"
"133","224","saml","4","224","saml"
"134","226","asp.net","448","47888","47887"
"135","229","object-oriented","1442","113571","113570"
"136","230","aspect-oriented","31","218787","218786"
"137","231","adfsv2","2","231","adfsv2"
"138","234","sso","10","214484","214483"
"139","235","ergonomics","10","235","ergonomics"
"140","236","code-reuse","112","182190","182189"
"141","239","uml","215","135578","135577"
"142","240","diagramming","11","240","diagramming"
"143","241","politics","14","241","politics"
"144","242","iterative-development","9","242","iterative-development"
"145","243","experience","146","105693","105692"
"146","246","code-contracts","8","209193","209192"
"147","249","c#","2156","6620","6619"
"148","250","vb.net","92","40771","40770"
"149","251","scheme","55","151669","151668"
"150","252","lisp","108","72690","72689"
"151","255","error-messages","40","255","error-messages"
"152","258","etymology","22","80646","80645"
"153","264","vim","22","51654","51653"
"154","266","prediction","7","266","prediction"
"155","267","culture","33","275360","275359"
"156","268","emacs","20","72687","72686"
"157","270","google","77","179330","179329"
"158","271","search-engine","35","271","search-engine"
"159","274","focus","20","274","focus"
"160","276","analysis","75","276","analysis"
"161","277","flowchart","21","277","flowchart"
"162","279","coding-standards","323","124397","124396"
"163","280","interview","549","99225","99224"
"164","281","browser","74","133746","133745"
"165","282","front-end","44","282","front-end"
"166","283","warning-signs","3","283","warning-signs"
"167","284","non-programmers","32","284","non-programmers"
"168","285","spoken-languages","26","285","spoken-languages"
"169","286","international","4","286","international"
"170","287","html","301","54806","54805"
"171","288","css","211","74471","74470"
"172","291","burnout","14","252221","252220"
"173","294","management","239","100104","100103"
"174","300","erp","17","230273","230272"
"175","301","users","39","301","users"
"176","304","openid","11","304","openid"
"177","305","antivirus","6","305","antivirus"
"178","306","virus","5","306","virus"
"179","311","algorithms","1222","64486","64485"
"180","312","complexity","101","261782","261781"
"181","315","jargon","13","315","jargon"
"182","318","project","144","135348","135347"
"183","321","social-skills","11","40787","40786"
"184","323","keyboard","11","323","keyboard"
"185","335","stackoverflow","7","210828","210827"
"186","336","mistakes","18","336","mistakes"
"187","338","language-features","86","236199","236198"
"188","339","monitor","14","339","monitor"
"189","340","joel-test","14","40769","40768"
"190","341","code-complete","13","144258","144257"
"191","344","mvc","522","77703","77702"
"192","347","development-cycle","4","347","development-cycle"
"193","348","release","55","348","release"
"194","350","rsi","6","350","rsi"
"195","351","health","9","234129","234128"
"196","353","ideology","3","353","ideology"
"197","354","economics","13","354","economics"
"198","355","profession","17","355","profession"
"199","357","scrum","457","47900","47899"
"200","359","version-control","627","44143","44142"
"201","361","computer","26","361","computer"
"202","362","free-time","19","48943","48942"
"203","363","communication","147","170216","170215"
"204","365","visual-studio-2010","78","40784","40783"
"205","366","stay-updated","6","366","stay-updated"
"206","367","pseudocode","24","367","pseudocode"
"207","370","typos","3","370","typos"
"208","374","builds","103","165799","165798"
"209","375","meetings","31","375","meetings"
"210","376","buzzwords","11","376","buzzwords"
"211","377","comparison","80","377","comparison"
"212","378","problem-solving","78","179336","179335"
"213","380","recognition","10","380","recognition"
"214","381","location-specific","2","381","location-specific"
"215","383","scope-creep","4","383","scope-creep"
"216","384","decisions","32","384","decisions"
"217","385","social-networks","30","385","social-networks"
"218","388","solo-development","53","145711","145710"
"219","389","advancements","5","389","advancements"
"220","390","cobol","20","144199","144198"
"221","391","design-patterns","1684","49029","49028"
"222","392","singleton","59","392","singleton"
"223","393","home","5","393","home"
"224","394","teaching","136","55781","55780"
"225","395","fonts","10","395","fonts"
"226","399","pair-programming","56","72692","72691"
"227","404","artificial-intelligence","95","136902","136901"
"228","405","compilers","197","67161","67160"
"229","407","philosophy","36","407","philosophy"
"230","408","code-reviews","227","48551","48550"
"231","409","frameworks","260","56044","56043"
"232","411","snippets","3","411","snippets"
"233","413","contribution","23","167019","167018"
"234","414","variables","106","271388","271387"
"235","416","product-names","7","416","product-names"
"236","417","time","51","417","time"
"237","421","operators","49","229038","229037"
"238","422","f#","59","53691","53690"
"239","427","bad-code","30","427","bad-code"
"240","428","horror-stories","2","428","horror-stories"
"241","429","terminology","467","75887","75886"
"242","430","inheritance","188","179346","179345"
"243","431","versioning","121","142389","142388"
"244","432","semantics","44","432","semantics"
"245","437","scalability","98","137156","137155"
"246","440","incentives","5","440","incentives"
"247","441","pointers","77","144195","144194"
"248","444","osx","27","444","osx"
"249","447","iterator","20","447","iterator"
"250","448","cheat-sheet","2","448","cheat-sheet"
"251","450","parallelism","42","450","parallelism"
"252","451","exceptions","200","132611","132610"
"253","452","market","7","452","market"
"254","453","product","17","453","product"
"255","455","popularity","13","455","popularity"
"256","457","statistics","46","457","statistics"
"257","459","actionscript","20","95833","95832"
"258","461","bad-programmer","8","461","bad-programmer"
"259","467","feedback","13","467","feedback"
"260","468","co-workers","34","468","co-workers"
"261","469","etiquette","28","469","etiquette"
"262","470","portability","30","470","portability"
"263","471","ruby-on-rails","241","47896","47895"
"264","472","jquery","173","48546","48545"
"265","473","gender","2","244969","244968"
"266","475","competence","2","475","competence"
"267","477","education","264","67592","67591"
"268","478","software-craftsmanship","13","131728","131727"
"269","480","training","80","135391","135390"
"270","481","students","24","481","students"
"271","482","c","772","47890","47889"
"272","483","objective-c","192","84230","84229"
"273","484","cms","60","133743","133742"
"274","485","scripting","105","167531","167530"
"275","486","reputation","3","486","reputation"
"276","488","outsourcing","42","488","outsourcing"
"277","491","scala","166","67356","67355"
"278","492","migration","52","492","migration"
"279","494","information","26","494","information"
"280","495","overload","4","495","overload"
"281","496","blogs","22","66642","66641"
"282","498","wpf","151","61604","61603"
"283","499","standardization","23","193405","193404"
"284","501","beta","11","167017","167016"
"285","502","ruby","257","65504","65503"
"286","503","google-app-engine","51","179354","179353"
"287","506","virtualization","24","506","virtualization"
"288","507","old-software","5","507","old-software"
"289","508","c++","1446","47827","47826"
"290","511","go","47","84960","84959"
"291","518","job-title","75","38460","38459"
"292","524","conferences","17","524","conferences"
"293","527","maintenance","149","112005","112004"
"294","529","research","58","529","research"
"295","530","vulnerabilities","12","530","vulnerabilities"
"296","533","senior-developer","22","533","senior-developer"
"297","534","work-time","7","534","work-time"
"298","536","tracking","10","536","tracking"
"299","539","file-structure","46","539","file-structure"
"300","540","cleaning","4","540","cleaning"
"301","541","minimal-requirements","3","541","minimal-requirements"
"302","542","source-check","2","542","source-check"
"303","544","top-companies","6","544","top-companies"
"304","548","structural-programming","3","548","structural-programming"
"305","551","credits","8","551","credits"
"306","553","portfolio","21","236952","236951"
"307","556","notes","4","556","notes"
"308","557","mainframe","11","190042","190041"
"309","558","intel","7","558","intel"
"310","559","errors","42","559","errors"
"311","560","nosql","102","133784","133783"
"312","561","bash","22","145045","145044"
"313","563","perl","64","74424","74423"
"314","566","xml","176","133726","133725"
"315","567","documentation","420","121107","121106"
"316","571","mocking","68","140437","140436"
"317","573","challenge","10","573","challenge"
"318","574","articles","8","574","articles"
"319","575","sorting","97","575","sorting"
"320","577","media","6","577","media"
"321","579","refactoring","380","43062","43061"
"322","580","mysql","293","115462","115461"
"323","581","declarative-programming","10","581","declarative-programming"
"324","584","shortcuts","4","584","shortcuts"
"325","587","financial","26","587","financial"
"326","590","development-methodologies","102","590","development-methodologies"
"327","591","oracle","62","136287","136286"
"328","595","failure","15","595","failure"
"329","598","libraries","196","135899","135898"
"330","599","collaboration","74","599","collaboration"
"331","602","orm","151","133729","133728"
"332","603","django","108","133796","133795"
"333","604","javafx","17","206742","206741"
"334","605","retirement","2","605","retirement"
"335","606","alternative","8","606","alternative"
"336","608","recruiting","48","206944","206943"
"337","609","design","2041","79295","79294"
"338","615","web-tools","3","615","web-tools"
"339","617","syntax-highlight","12","617","syntax-highlight"
"340","619","writing","22","235310","235309"
"341","622","multi-core","16","622","multi-core"
"342","626","data-types","51","626","data-types"
"343","627","cowboy-coding","9","627","cowboy-coding"
"344","628","visual-basic","27","179513","179512"
"345","632","general-purpose","4","632","general-purpose"
"346","633","budget","7","633","budget"
"347","638","plugins","48","638","plugins"
"348","639","mercurial","100","124389","124388"
"349","640","pen-and-paper","4","640","pen-and-paper"
"350","641","distributed-computing","65","641","distributed-computing"
"351","643","basic","15","40782","40781"
"352","644","contract","62","167341","167340"
"353","646","interruptions","3","646","interruptions"
"354","649","stories","10","649","stories"
"355","650","product-owner","31","187020","187019"
"356","651","microsoft","85","138444","138443"
"357","655","delphi","72","83023","83022"
"358","659","load-testing","10","194994","194993"
"359","660","notepad++","4","49266","49265"
"360","661","customer-relations","47","661","customer-relations"
"361","667","platforms","18","667","platforms"
"362","669","wcf","133","135197","135196"
"363","670","benefits","14","670","benefits"
"364","671","puzzles","21","671","puzzles"
"365","672","contests","14","672","contests"
"366","673","cryptography","31","673","cryptography"
"367","676","support","39","676","support"
"368","677","keyboard-layout","3","677","keyboard-layout"
"369","680","conditions","54","680","conditions"
"370","681","naming","359","136276","136275"
"371","682","github","183","164691","164690"
"372","687","optimization","200","135919","135918"
"373","688","jit","18","167602","167601"
"374","690","prototyping","50","179507","179506"
"375","691","automation","65","167529","167528"
"376","693","pronunciation","9","693","pronunciation"
"377","694","functions","120","158159","158158"
"378","696","implementations","38","696","implementations"
"379","699","job-market","90","100102","100101"
"380","700","bsd","10","700","bsd"
"381","703","industry","30","703","industry"
"382","704","computer-architecture","30","704","computer-architecture"
"383","707","piracy","9","707","piracy"
"384","710","criticism","6","710","criticism"
"385","717","changes","19","717","changes"
"386","719","hidden-features","4","719","hidden-features"
"387","722","children","15","722","children"
"388","728","services","47","728","services"
"389","730","jdbc","15","730","jdbc"
"390","732","mono","34","67234","67233"
"391","734","eclipse","64","47904","47903"
"392","735","visual-studio","166","71128","71127"
"393","736","distributed-development","27","736","distributed-development"
"394","737","university","42","48542","48541"
"395","738","free-software","41","154470","154469"
"396","740","binary","46","740","binary"
"397","742","code-generation","29","742","code-generation"
"398","746","requirements","217","111999","111998"
"399","748","azure","49","216861","216860"
"400","751","amazon-ec2","17","751","amazon-ec2"
"401","755","javascript","1176","47886","47885"
"402","756","programming-logic","28","232519","232518"
"403","761","language-choice","44","167357","167356"
"404","762","cross-platform","93","136730","136729"
"405","765","enterprise-architecture","123","171600","171599"
"406","766","discrimination","2","766","discrimination"
"407","768","software-updates","46","768","software-updates"
"408","769","multiple-monitors","5","769","multiple-monitors"
"409","772","forward-compatibility","3","772","forward-compatibility"
"410","775","workflows","152","179317","179316"
"411","779","creativity","16","779","creativity"
"412","781","obfuscation","24","781","obfuscation"
"413","784","corporate-procedures","5","784","corporate-procedures"
"414","785","hacking","28","785","hacking"
"415","787","silverlight","73","47913","47912"
"416","788","formal-methods","9","788","formal-methods"
"417","789","colleagues","13","789","colleagues"
"418","790","architecture","1140","112001","112000"
"419","791","gui","166","64506","64505"
"420","794","part-time","4","794","part-time"
"421","798","personal-projects","59","143983","143982"
"422","802","user-group","8","802","user-group"
"423","803","community","26","803","community"
"424","804","new-job","53","157129","157128"
"425","805","ux","12","805","ux"
"426","808","strings","86","808","strings"
"427","809","debugging","177","136113","136112"
"428","811","knowledge","35","168230","168229"
"429","813","dvcs","61","131988","131987"
"430","815","sharepoint","17","815","sharepoint"
"431","817","coding-style","486","121325","121324"
"432","818","kanban","24","81793","81792"
"433","819","quality-attributes","5","819","quality-attributes"
"434","822","working-conditions","7","822","working-conditions"
"435","825","stress","7","825","stress"
"436","829","entity","33","829","entity"
"437","832","reading","13","832","reading"
"438","834","modules","73","834","modules"
"439","837","ipad","23","837","ipad"
"440","838","games","21","838","games"
"441","840","copyright","151","167339","167338"
"442","843","personal","4","843","personal"
"443","844","importance","3","844","importance"
"444","845","professionalism","23","845","professionalism"
"445","846","corporate-culture","16","846","corporate-culture"
"446","847","database","888","49032","49031"
"447","848","sequence","11","848","sequence"
"448","849","product-features","23","849","product-features"
"449","855","lgpl","92","182192","182191"
"450","856","composition","55","856","composition"
"451","857","headers","36","857","headers"
"452","864","inspiration","11","864","inspiration"
"453","868","time-stamp","7","868","time-stamp"
"454","869","legal","261","67915","67914"
"455","870","hacks","10","870","hacks"
"456","871","relationships","30","871","relationships"
"457","872","smalltalk","17","872","smalltalk"
"458","873","web","156","166753","166752"
"459","874","soa","106","132944","132943"
"460","876","time-tracking","18","876","time-tracking"
"461","879","third-party-libraries","51","879","third-party-libraries"
"462","883","clean-code","104","179359","179358"
"463","884","tutorial","11","179517","179516"
"464","886","jruby","7","886","jruby"
"465","887","groovy","27","117777","117776"
"466","889","jvm","46","190602","190601"
"467","890","iis7","6","890","iis7"
"468","891","job-hunting","14","891","job-hunting"
"469","892","codeplex","5","892","codeplex"
"470","894","visual","15","894","visual"
"471","897","db2","10","897","db2"
"472","898","mind-mapping","6","898","mind-mapping"
"473","899","anti-patterns","104","161518","161517"
"474","900","tips","10","900","tips"
"475","901","web-2.0","4","901","web-2.0"
"476","902","catch-phrases","4","902","catch-phrases"
"477","903","labels","4","903","labels"
"478","904","appraisal","3","904","appraisal"
"479","905","specifications","105","165867","165866"
"480","907","big-o","53","232742","232741"
"481","910","email","79","910","email"
"482","913","static-analysis","40","204687","204686"
"483","914","hungarian","8","914","hungarian"
"484","915","notation","19","915","notation"
"485","919","internationalization","61","146907","146906"
"486","920","entity-framework","164","58763","58762"
"487","921","message-queue","47","921","message-queue"
"488","927","elance","3","927","elance"
"489","928","side-effect","19","928","side-effect"
"490","929","reverse-engineering","21","234185","234184"
"491","931","async","53","931","async"
"492","933","assertions","24","138954","138953"
"493","935","meta-programming","23","235354","235353"
"494","936","technologies","5","936","technologies"
"495","943","unlearning","5","943","unlearning"
"496","947","switch-statement","29","947","switch-statement"
"497","948","netbeans","22","131445","131444"
"498","949","end-users","17","949","end-users"
"499","950","end-user-programming","3","950","end-user-programming"
"500","954","html5","152","135532","135531"
"501","955","flash","39","955","flash"
"502","956","unicode","37","49669","49668"
"503","957","ajax","124","54810","54809"
"504","958","trac","7","958","trac"
"505","959","construction","12","959","construction"
"506","962","planning","104","167021","167020"
"507","963","interpreters","46","963","interpreters"
"508","966","new-technology","29","168224","168223"
"509","967","screen","8","967","screen"
"510","968","performance-tools","4","968","performance-tools"
"511","969","stress-testing","2","194992","194991"
"512","971","wordpress","23","971","wordpress"
"513","972","sprint","53","205805","205804"
"514","973","sap","5","151814","151813"
"515","974","abap","3","179549","179548"
"516","975","pros-and-cons","7","975","pros-and-cons"
"517","978","downtime","3","978","downtime"
"518","980","domain-model","103","209000","208999"
"519","981","remote-desktop","6","232503","232502"
"520","983","profiling","23","983","profiling"
"521","987","ideal-company","4","987","ideal-company"
"522","988","code-formatting","40","263416","263415"
"523","993","seo","15","993","seo"
"524","995","clang","10","123982","123981"
"525","996","llvm","12","139857","139856"
"526","997","specialization","6","997","specialization"
"527","998","sql-server","190","133722","133721"
"528","999","open-office","2","135212","135211"
"529","1000","mfc","10","1000","mfc"
"530","1001","qt","53","205269","205268"
"531","1002","ui","68","182197","182196"
"532","1003","directx","4","1003","directx"
"533","1004","opengl","44","132954","132953"
"534","1005","web-framework","75","1005","web-framework"
"535","1007","case-studies","7","1007","case-studies"
"536","1008","api","384","47906","47905"
"537","1010","grammar","37","1010","grammar"
"538","1017","intro-to-programming","11","1017","intro-to-programming"
"539","1018","utilities","8","1018","utilities"
"540","1020","hosting","22","1020","hosting"
"541","1021","web-hosting","19","1021","web-hosting"
"542","1022","identity","15","1022","identity"
"543","1024","lean","15","81788","81787"
"544","1025","installer","33","1025","installer"
"545","1026","dependency-analysis","8","1026","dependency-analysis"
"546","1027","project-structure","61","1027","project-structure"
"547","1037","web-services","360","132604","132603"
"548","1038","etl","11","123944","123943"
"549","1039","real-world","19","1039","real-world"
"550","1040","selenium","25","229008","229007"
"551","1041","gwt","21","1041","gwt"
"552","1042","android","364","49454","49453"
"553","1043","workaround","2","1043","workaround"
"554","1044","vaadin","2","258424","258423"
"555","1046","keyboard-shortcuts","9","1046","keyboard-shortcuts"
"556","1047","information-overload","3","1047","information-overload"
"557","1051","jpa","20","1051","jpa"
"558","1053","usage-statistics","8","1053","usage-statistics"
"559","1054","benchmarking","27","1054","benchmarking"
"560","1055","ms-pl","9","1055","ms-pl"
"561","1057","graphics","65","1057","graphics"
"562","1058","diagrams","62","1058","diagrams"
"563","1059","efficiency","117","149572","149571"
"564","1060","inefficiency","5","1060","inefficiency"
"565","1061","cluster","29","1061","cluster"
"566","1062","visual-basic-6","17","40774","40773"
"567","1064","tutoring","4","1064","tutoring"
"568","1066","deadlines","19","232727","232726"
"569","1069","access-modifiers","16","1069","access-modifiers"
"570","1070","encryption","75","1070","encryption"
"571","1073","paying","14","1073","paying"
"572","1074","methods","88","1074","methods"
"573","1076","desktop","6","1076","desktop"
"574","1079","self-employment","7","179509","179508"
"575","1082","presentation","30","1082","presentation"
"576","1083","product-management","17","1083","product-management"
"577","1084","life-cycle","24","1084","life-cycle"
"578","1085","whiteboard","12","1085","whiteboard"
"579","1087","abstraction","108","179350","179349"
"580","1088","environment","19","1088","environment"
"581","1090","recursion","89","1090","recursion"
"582","1092","jsp","28","167540","167539"
"583","1093","site-blocking","4","1093","site-blocking"
"584","1095","nhibernate","27","1095","nhibernate"
"585","1097","non-technical","12","1097","non-technical"
"586","1098","tdd","382","74728","74727"
"587","1099","foss","20","147907","147906"
"588","1102","intellij","14","1102","intellij"
"589","1103","validation","114","150276","150275"
"590","1104","control-structures","20","234334","234333"
"591","1107","facebook","34","130406","130405"
"592","1109","software-as-a-service","37","179505","179504"
"593","1110","teamwork","287","109608","109607"
"594","1112","domain-driven-design","307","179326","179325"
"595","1113","solid","109","105468","105467"
"596","1114","pragmatism","11","1114","pragmatism"
"597","1115","assembly","84","179338","179337"
"598","1116","low-level","57","227976","227975"
"599","1118","branching","112","167015","167014"
"600","1119","scheduling","59","1119","scheduling"
"601","1122","configuration","71","167013","167012"
"602","1123","gantt-chart","3","1123","gantt-chart"
"603","1124","e-commerce","44","179515","179514"
"604","1128","rest","416","133736","133735"
"605","1130","accessibility","12","1130","accessibility"
"606","1131","degree","25","147427","147426"
"607","1132","mockups","6","1132","mockups"
"608","1133","quality","101","1133","quality"
"609","1137","access","16","1137","access"
"610","1139","entrepreneurship","22","1139","entrepreneurship"
"611","1143","chrome","27","147025","147024"
"612","1144","theory","125","179328","179327"
